,nr. of TIs,nr. of events,% of events,mean_length,sd_length,mean_duration,sd_duration,mean_#_TIs,sd_#_TIs
1,107069,107069,22.939899772248612,1.0,0.0,0.0,0.0,0,0
4,138002,359668,77.06010022775139,2.6062520833031404,0.9497964068237476,0.0,0.0,0,0
2,16855,82829,17.74639679305476,4.914209433402551,2.0155139782931677,114.48377336102047,101.9460959812598,2.424147137347968,0.7642779658034504
3,1972,9314,1.9955563840021253,4.723123732251521,2.018788656516582,96.8605476673428,83.63309449906087,2.0684584178498984,0.27564611021607394
2*,16618,68869,14.755419004707148,4.144241184258034,1.4903604706212967,9.323384282103744,8.436717312148945,2.1595258153809125,0.415016983161561
3*,10777,38308,8.207620137250743,3.5546070334972626,1.3128100001842553,4.368284309176951,6.540330023247982,2.0037116080541897,0.06379161718408959
7*,3274,18320,3.9251227136481575,5.595601710445938,2.645957818764935,8.935552840562003,12.63844688410462,5.595601710445938,2.645957818764935
8*,227,1978,0.4237932711569899,8.713656387665198,1.4700365193197742,10.145374449339206,11.92977286967355,4.330396475770925,0.7109144812377524
