,action,start,end,duration
0,import_event_nodes,1633423033.7732828,1633423041.7183506,7.945067882537842
1,filter_events_SUSPEND_RESUME,1633423041.7183506,1633423042.1787474,0.46039676666259766
2,create_entity_nodes_(case),1633423042.1787474,1633423042.68577,0.5070226192474365
3,correlate_events_to_cases,1633423042.68577,1633423047.5591187,4.873348712921143
4,create_directly_follows_(case),1633423047.5591187,1633423057.3751972,9.816078424453735
5,create_entity_nodes_(resource),1633423057.3751972,1633423057.6805792,0.30538201332092285
6,correlate_events_to_resources,1633423057.6805792,1633423064.430682,6.750102758407593
7,create_directly_follows_(resource),1633423064.430682,1633423081.267367,16.836684942245483
8,total,1633423033.7732828,1633423081.2693584,47.49607563018799
