,action,start,end,duration
0,combine_df_joint,1633423082.3308637,1633423088.3534083,6.022544622421265
1,set_activity_lifecycle_property,1633423088.3534083,1633423091.7143116,3.360903263092041
2,create_ti_nodes,1633423091.7143116,1633423100.8108356,9.096524000167847
3,correlate_ti_to_entity_(resource),1633423100.8108356,1633423101.435435,0.6245994567871094
4,create_df_ti_(resource),1633423101.435435,1633423103.107093,1.6716580390930176
5,correlate_ti_to_entity_(case),1633423103.107093,1633423103.754017,0.6469240188598633
6,create_df_ti_(case),1633423103.754017,1633423104.946088,1.1920709609985352
7,total,1633423082.3308637,1633423104.9480827,22.61721897125244
